,estacion,concentracion,dt
3660,50,13.0,2019-04-03 00:00:00
3663,57,4.0,2019-04-03 00:00:00
3673,48,7.0,2019-04-03 00:00:00
3676,36,15.0,2019-04-03 00:00:00
3679,55,11.0,2019-04-03 00:00:00
3683,8,15.0,2019-04-03 00:00:00
3688,60,7.0,2019-04-03 00:00:00
3703,18,3.0,2019-04-03 00:00:00
3708,40,9.0,2019-04-03 00:00:00
3709,24,7.0,2019-04-03 00:00:00
3712,47,6.0,2019-04-03 00:00:00
3724,38,12.0,2019-04-03 01:00:00
3732,40,10.0,2019-04-03 01:00:00
3740,18,12.0,2019-04-03 01:00:00
3755,36,15.0,2019-04-03 01:00:00
3757,47,7.0,2019-04-03 01:00:00
3761,48,12.0,2019-04-03 01:00:00
3765,8,16.0,2019-04-03 01:00:00
3769,55,21.0,2019-04-03 01:00:00
3770,60,2.0,2019-04-03 01:00:00
3775,50,15.0,2019-04-03 01:00:00
3777,24,1.0,2019-04-03 01:00:00
3778,57,3.0,2019-04-03 01:00:00
3800,60,2.0,2019-04-03 02:00:00
3801,50,13.0,2019-04-03 02:00:00
3803,40,6.0,2019-04-03 02:00:00
3804,18,13.0,2019-04-03 02:00:00
3812,55,16.0,2019-04-03 02:00:00
3815,8,20.0,2019-04-03 02:00:00
3827,38,11.0,2019-04-03 02:00:00
3846,47,15.0,2019-04-03 02:00:00
3865,48,10.0,2019-04-03 02:00:00
3868,36,12.0,2019-04-03 02:00:00
3869,57,2.0,2019-04-03 02:00:00
3872,24,1.0,2019-04-03 02:00:00
3882,48,10.0,2019-04-03 03:00:00
3887,47,37.0,2019-04-03 03:00:00
3888,50,17.0,2019-04-03 03:00:00
3897,55,14.0,2019-04-03 03:00:00
3917,38,12.0,2019-04-03 03:00:00
3926,36,16.0,2019-04-03 03:00:00
3932,8,12.0,2019-04-03 03:00:00
3933,24,3.0,2019-04-03 03:00:00
3935,57,1.0,2019-04-03 03:00:00
3939,60,1.0,2019-04-03 03:00:00
3945,18,9.0,2019-04-03 03:00:00
3947,40,3.0,2019-04-03 03:00:00
3970,60,1.0,2019-04-03 04:00:00
3971,40,1.0,2019-04-03 04:00:00
3973,55,13.0,2019-04-03 04:00:00
3978,36,12.0,2019-04-03 04:00:00
3983,48,9.0,2019-04-03 04:00:00
3984,50,19.0,2019-04-03 04:00:00
3994,38,14.0,2019-04-03 04:00:00
4005,57,1.0,2019-04-03 04:00:00
4006,8,7.0,2019-04-03 04:00:00
4020,18,11.0,2019-04-03 04:00:00
4022,47,10.0,2019-04-03 04:00:00
4023,24,3.0,2019-04-03 04:00:00
4028,38,16.0,2019-04-03 05:00:00
4029,24,4.0,2019-04-03 05:00:00
4032,55,17.0,2019-04-03 05:00:00
